mk.names	chr	pos.ind	pos.cM	log10pval
S1_69121	1	1	0.185010400220716	3.87765502559916
S1_80410	1	2	0.223173359000347	4.12026181184736
S1_577509	1	3	1.7693568191779	4.35650790317784
S1_821014	1	4	2.3936890811088	4.89444767016699
S1_1348345	1	5	3.86903532055653	0.248301205813565
S1_1536966	1	6	4.43807942000248	5.35190469730869
S1_2369035	1	7	6.94831929139483	0.585820222356953
S1_2464406	1	8	7.23604072648562	5.07445968745107
S1_3215055	1	9	9.50064744686673	3.55356301131614
S1_3215185	1	10	9.50103963932106	3.55356301131611
S1_3258971	1	11	9.6331360916691	3.56810581307674
S1_3535871	1	12	10.4685060193897	4.01096882708056
S1_4216520	1	13	12.5219321874398	5.03778991106218
S1_4295319	1	14	12.7596581351988	4.50029383675796
S1_4319536	1	15	12.8327175557102	3.93489245137074
S1_4468470	1	16	13.2820313325796	5.07115392498137
S1_4530839	1	17	13.4701901878415	5.2207069046507
S1_4954126	1	18	14.4526258435254	5.74089058317935
S1_6837999	1	19	17.7425149780595	6.88600685790425
S1_7195981	1	20	18.3676744724409	6.58684130002242
S1_7590801	1	21	18.8691753151358	1.50419577922954
S1_7640689	1	22	18.9162940462446	1.50419577922959
S1_7816461	1	23	19.0823089918118	1.97201503593624
S1_7953228	1	24	19.2114840939919	2.03226719794841
S1_7990570	1	25	19.2467532500427	2.14977671792342
S1_8308469	1	26	19.547005765693	5.97328806719213
S1_8429405	1	27	19.661228642244	1.87787896713632
S1_9247933	1	28	20.5598009779263	4.82135408017945
S1_9785963	1	29	21.1990132087134	2.0079318797403
S1_10044853	1	30	21.5065902107923	2.20092423388255
S1_10291067	1	31	22.3720821708061	1.91125068088882
S1_10322103	1	32	22.4930054600357	4.55966388298769
S1_10934969	1	33	24.8808702807926	4.37709831076791
S1_11491133	1	34	27.4588430485259	3.30828774493785
S1_12122546	1	35	31.3430996583726	3.70442375742825
S1_12769005	1	36	34.9645040460767	2.67834933305675
S1_12903694	1	37	35.7190195460164	1.3078312348165
S1_12938971	1	38	35.9166380842145	1.06974570207166
S1_13871452	1	39	41.1403116425542	0.0118304886440769
S1_14127467	1	40	42.5744843345859	2.22999365033576
S1_14160192	1	41	42.7578068014208	2.34232439195368
S1_14246694	1	42	43.2423831200197	1.6601698137828
S1_14357627	1	43	43.863819673523	1.6522380539025
S1_14478464	1	44	44.5407375321916	1.66934297128313
S1_15769166	1	45	50.0936160582495	0.222340606442388
S1_16615608	1	46	53.28276712133	0.703531856506276
S1_17464476	1	47	56.3110173100375	0.688559055111356
S1_18083382	1	48	58.321375547432	0.59525871432056
S1_19061369	1	49	61.4981167997624	0.678168350541456
S1_19274458	1	50	62.1427991146122	0.15033526533135
S1_19605364	1	51	62.8595946856167	0.056926843530099
S1_19767176	1	52	63.2101054800277	0.0531103852570393
S1_19980462	1	53	63.6721172300632	0.122890479841467
S1_20172421	1	54	64.0879312709523	0.432081617622242
S1_20257881	1	55	64.2730513639637	0.0238794708406304
S1_20393420	1	56	64.5666506184299	0.0238794708406244
S1_21649576	1	57	67.2876863726642	0.133340989603149
S1_21991976	1	58	67.9542526185215	0.418726784418679
S1_24550189	1	59	70.5806285794195	0.317190319064532
S1_24932099	1	60	70.7495516077366	0.32954562622746
