mk.names	chr	pos.ind	pos.cM	log10pval
S1_69121	1	1	0.185010400220716	0.380907979331785
S1_80410	1	2	0.223173359000347	0.278059795872234
S1_577509	1	3	1.7693568191779	0.388531373787862
S1_821014	1	4	2.3936890811088	0.295315657072511
S1_1348345	1	5	3.86903532055653	0.542882561684158
S1_1536966	1	6	4.43807942000248	0.384424626929672
S1_2369035	1	7	6.94831929139483	0.184305061356147
S1_2464406	1	8	7.23604072648562	0.505322449571397
S1_3215055	1	9	9.50064744686673	0.49136448041829
S1_3215185	1	10	9.50103963932106	0.491364480418236
S1_3258971	1	11	9.6331360916691	0.493995924994918
S1_3535871	1	12	10.4685060193897	0.542136199837469
S1_4216520	1	13	12.5219321874398	0.311295804618978
S1_4295319	1	14	12.7596581351988	0.366988691356732
S1_4319536	1	15	12.8327175557102	0.558516286115503
S1_4468470	1	16	13.2820313325796	0.351695520836027
S1_4530839	1	17	13.4701901878415	0.414307059101101
S1_4954126	1	18	14.4526258435254	0.44466722283038
S1_6837999	1	19	17.7425149780595	0.708361289018625
S1_7195981	1	20	18.3676744724409	0.746362685909375
S1_7590801	1	21	18.8691753151358	0.452463605393317
S1_7640689	1	22	18.9162940462446	0.452463605393302
S1_7816461	1	23	19.0823089918118	0.169931738571017
S1_7953228	1	24	19.2114840939919	0.2116568284483
S1_7990570	1	25	19.2467532500427	0.223404199022678
S1_8308469	1	26	19.547005765693	0.34440422284871
S1_8429405	1	27	19.661228642244	0.158391491668245
S1_9247933	1	28	20.5598009779263	0.203932205808619
S1_9785963	1	29	21.1990132087134	0.202302529620201
S1_10044853	1	30	21.5065902107923	0.221954091202192
S1_10291067	1	31	22.3720821708061	0.204849412266378
S1_10322103	1	32	22.4930054600357	0.670824348655858
S1_10934969	1	33	24.8808702807926	0.634898999913033
S1_11491133	1	34	27.4588430485259	1.19108570785637
S1_12122546	1	35	31.3430996583726	1.13594318570685
S1_12769005	1	36	34.9645040460767	0.815375086858487
S1_12903694	1	37	35.7190195460164	0.167011288717741
S1_12938971	1	38	35.9166380842145	0.131306279264382
S1_13871452	1	39	41.1403116425542	0.571707406647821
S1_14127467	1	40	42.5744843345859	0.186486827656246
S1_14160192	1	41	42.7578068014208	0.290591493960506
S1_14246694	1	42	43.2423831200197	0.289172381731624
S1_14357627	1	43	43.863819673523	0.291545645687411
S1_14478464	1	44	44.5407375321916	0.245828924748451
S1_15769166	1	45	50.0936160582495	0.0288841638651222
S1_16615608	1	46	53.28276712133	0.12405782702947
S1_17464476	1	47	56.3110173100375	0.143573102607797
S1_18083382	1	48	58.321375547432	0.0695323408405242
S1_19061369	1	49	61.4981167997624	0.0713495103090248
S1_19274458	1	50	62.1427991146122	0.109660801866582
S1_19605364	1	51	62.8595946856167	0.0439672790174293
